yacht_name,yacht_url,yacht_builder,yacht_length,yacht_date,yacht_tspeed,yacht_cspeed,yacht_range,yacht_beam,yacht_guests,yacht_crew
Tatoosh,http://www.boatinternational.com/yachts/the-superyacht-directory/tatoosh--47511,Nobiskrug, 92.42m , 2000 , 19kts , 18kts , 5000nm , 14.95m , 20 , 35 
Royal Romance,http://www.boatinternational.com/yachts/the-superyacht-directory/royal-romance--82263,Feadship, 92.50m , 2015 , 15kts , 12kts ,, 14.3m , 14 , 22 
Mayan Queen IV,http://www.boatinternational.com/yachts/the-superyacht-directory/mayan-queen-iv--73823,Blohm & Voss, 93.25m , 2008 ,,,, 15.88m ,,
Kalizma,http://www.boatinternational.com/yachts/the-superyacht-directory/kalizma--41495,Ramage & Ferguson, 50.29m , 1906 , 12kts , 10kts , 3500nm , 6.34m , 10 , 9 
Palladium,http://www.boatinternational.com/yachts/the-superyacht-directory/palladium--73835,Blohm & Voss, 96.00m , 2010 , 20kts , 16kts ,, 16.0m ,, 33 
Kismet,http://www.boatinternational.com/yachts/the-superyacht-directory/kismet--81259,Lurssen, 95.20m , 2014 , 17kts , 14kts ,, 13.8m ,, 28 
Vava II,http://www.boatinternational.com/yachts/the-superyacht-directory/vava-ii--67707,Devonport, 96.00m , 2012 , 20kts , 16kts ,, 17.3m ,,
Limitless,http://www.boatinternational.com/yachts/the-superyacht-directory/limitless--60599,Lurssen, 96.26m , 1997 , 25kts , 17kts ,, 12.4m , 10 , 20 
Vertigo,http://www.boatinternational.com/yachts/the-superyacht-directory/vertigo--87021,Feadship, 96.55m , 2017 , 17kts , 15kts , 5000nm , 14.5m , 18 , 32 
Carinthia VII,http://www.boatinternational.com/yachts/the-superyacht-directory/carinthia-vii--60593,Lurssen, 97.20m , 2002 , 26kts , 22kts ,, 15.94m ,,
Madame Gu,http://www.boatinternational.com/yachts/the-superyacht-directory/madame-gu--57691,Feadship, 99.00m , 2013 , 24kts ,,, 13.6m , 12 , 36 
